Year,Estimated RND Percent Small,Estimated RND Percent Large,Small Revenue %,Large Revenue %
2014,55.504805938260695,44.495194061739305,76.57177195222714,23.428228047772855
2015,58.97056440328132,41.029435596718685,68.13785557986871,31.862144420131287
2016,46.226096183850764,53.773903816149236,46.19507405285983,53.80492594714017
2017,43.2493914707141,56.7506085292859,59.67387563861609,40.32612436138391
2018,36.15293962434962,63.84706037565038,68.87550200803213,31.12449799196787
2019,32.19280933946572,67.80719066053429,80.0,20.0
2020,31.00338918674127,68.99661081325873,55.92780719766562,44.07219280233438
2021,29.20148653210475,70.79851346789525,35.48889027198606,64.51110972801393
2022,22.738586806637,77.261413193363,28.920909382004485,71.07909061799552
2023,18.94654920965031,81.05345079034969,45.58308678500986,54.41691321499014
2024,26.26206529141401,73.737934708586,64.39072757111597,35.609272428884026
2025,28.7555555063496,71.2444444936504,65.10196582766856,34.898034172331435
2026,21.73426879403963,78.26573120596038,64.30231994962948,35.697680050370515
